=== In this article ===
Device | System Model | System SKU
Surface Laptop 5 15-inch, Consumer | Surface Laptop 5 | Surface_Laptop_5_1979
Surface Laptop 5 15-inch, Commercial | Surface Laptop 5 | Surface_Laptop_5_for_Business_1979
Surface Laptop 6 for Business 13.5-inch | Surface Laptop 6 for Business | Surface_Laptop_6_for_Business_2033
Surface Laptop 6 for Business 15-inch | Surface Laptop 6 for Business | Surface_Laptop_6_for_Business_2035
Surface Laptop 13.8-inch 7th Edition with Snapdragon, Consumer | Microsoft Surface Laptop, 7th Edition | Surface_Laptop_7th_Edition_2036
Surface Laptop 15-inch 7th Edition with Snapdragon, Consumer | Microsoft Surface Laptop, 7th Edition | Surface_Laptop_7th_Edition_2037
Surface Laptop 13.8-inch 7th Edition with Snapdragon, Commercial | Microsoft Surface Laptop, 7th Edition | Surface_Laptop_7th_Edition_For_Business_2036
Surface Laptop 15-inch 7th Edition with Snapdragon, Commercial | Microsoft Surface Laptop, 7th Edition | Surface_Laptop_7th_Edition_For_Business_2037
Surface Laptop for Business 13.8-inch 7th Edition with Intel | Surface Laptop for Business 7th Edition with Intel | Surface_Laptop_7th_Edition_With_Intel_For_Business_2107
Surface Laptop for Business 15-inch 7th Edition with Intel | Surface Laptop for Business 7th Edition with Intel | Surface_Laptop_7th_Edition_With_Intel_For_Business_2108
Surface Laptop 5G for Business 7th Edition with Intel | Surface Laptop 5G for Business 7th Edition with Intel | Surface_Laptop_5G_7th_Edition_With_Intel_For_Business_2119
Surface Laptop 13-inch 1st Edition with Snapdragon, Consumer | Surface Laptop 13in 1st Ed with Snapdragon | Surface_Laptop_13in_1st_Ed_with_Snapdragon_2095
Surface Laptop 13-inch 1st Edition with Snapdragon, Commercial | Surface Laptop for Business 13in 1st Ed with Snapdragon | Surface_Laptop_for_Business_13in_1st_Ed_with_Snapdragon_2095
Surface Laptop for Business 13-inch 1st Edition with Intel | Surface Laptop for Business 13in 1st Ed Intel | Surface_Laptop_for_Business_13in_1st_Ed_Intel_2156
Surface Laptop for Business 13.8-inch 8th Edition with Intel (outside of Korea) | Surface Laptop for Business 13.8in 8th Ed Intel | Surface_Laptop_for_Business_13_8in_8th_Ed_Intel_2107
Surface Laptop for Business 13.8-inch 8th Edition with Intel (Korea) | Surface Laptop for Business 13.8in 8th Ed Intel | Surface_Laptop_for_Business_13_8in_8th_Ed_Intel_2135
Surface Laptop for Business 15-inch 8th Edition with Intel (outside of Korea) | Surface Laptop for Business 15in 8th Ed Intel | Surface_Laptop_for_Business_15in_8th_Ed_Intel_2108
Surface Laptop for Business 15-inch 8th Edition with Intel (Korea) | Surface Laptop for Business 15in 8th Ed Intel | Surface_Laptop_for_Business_15in_8th_Ed_Intel_2136
Surface Laptop 13.8-inch 8th Edition with Snapdragon, Consumer (outside of Korea) | Surface Laptop 13.8in 8th Ed Snapdragon | Surface_Laptop_13_8in_8th_Ed_Snapdragon_2036
Surface Laptop 13.8-inch 8th Edition with Snapdragon, Consumer (Korea) | Surface Laptop 13.8in 8th Ed Snapdragon | Surface_Laptop_13_8in_8th_Ed_Snapdragon_2138
Surface Laptop 15-inch 8th Edition with Snapdragon, Consumer (outside of Korea) | Surface Laptop 15in 8th Ed Snapdragon | Surface_Laptop_15in_8th_Ed_Snapdragon_2037
Surface Laptop 15-inch 8th Edition with Snapdragon, Consumer (Korea) | Surface Laptop 15in 8th Ed Snapdragon | Surface_Laptop_15in_8th_Ed_Snapdragon_2139
Surface Laptop 13.8-inch 8th Edition with Snapdragon, Commercial (outside of Korea) | Surface Laptop for Business 13.8in 8th Ed Snapdragon | Surface_Laptop_for_Business_13_8in_8th_Ed_Snapdragon_2036
Surface Laptop 13.8-inch 8th Edition with Snapdragon, Commercial (Korea) | Surface Laptop for Business 13.8in 8th Ed Snapdragon | Surface_Laptop_for_Business_13_8in_8th_Ed_Snapdragon_2138
Surface Laptop 15-inch 8th Edition with Snapdragon, Commercial (outside of Korea) | Surface Laptop for Business 15in 8th Ed Snapdragon | Surface_Laptop_for_Business_15in_8th_Ed_Snapdragon_2037
Surface Laptop 15-inch 8th Edition with Snapdragon, Commercial (Korea) | Surface Laptop for Business 15in 8th Ed Snapdragon | Surface_Laptop_for_Business_15in_8th_Ed_Snapdragon_2139
Surface Laptop Go | Surface Laptop Go | Surface_Laptop_Go_1943
Surface Laptop Go 2 | Surface Laptop Go 2 | Surface_Laptop_Go_2_2013
Surface Laptop Go 3 | Surface Laptop Go 3 | Surface_Laptop_Go_3_2013
Surface Laptop SE | Surface Laptop SE | Surface Laptop SE
Surface Laptop Studio | Surface Laptop Studio | Surface_Laptop_Studio_1964
Surface Laptop Studio 2 | Surface Laptop Studio 2 | Surface_Laptop_Studio_2_2029
Surface Pro (5th Gen) | Surface Pro | Surface_Pro_1796
Surface Pro with LTE Advanced (5th Gen) | Surface Pro | Surface_Pro_1807
Surface Pro 6, Consumer | Surface Pro 6 | Surface_Pro_6_1796_Consumer
Surface Pro 6, Commercial | Surface Pro 6 | Surface_Pro_6_1796_Commercial
Surface Pro 7 | Surface Pro 7 | Surface_Pro_7_1866
Surface Pro 7+ | Surface Pro 7+ | Surface_Pro_7+_1960
Surface Pro 7+ LTE | Surface Pro 7+ | Surface_Pro_7+_with_LTE_Advanced_1961
Surface Pro 8, Consumer | Surface Pro 8 | Surface_Pro_8_1983
Surface Pro 8, Commercial | Surface Pro 8 | Surface_Pro_8_for_Business_1983
Surface Pro 8 LTE | Surface Pro 8 | Surface_Pro_8_for_Business_with_LTE_Advanced_1982
Surface Pro 9, Consumer | Surface Pro 9 | Surface_Pro_9_2038
Surface Pro 9, Commercial | Surface Pro 9 | Surface_Pro_9_for_Business_2038
Surface Pro 9 with 5G (U.S.) | Surface Pro 9 | Surface_Pro_9_With_5G_1997
Surface Pro 9 with 5G (outside of U.S.) | Surface Pro 9 | Surface_Pro_9_With_5G_1996
Surface Pro X with SQ1 processor | Surface Pro X | Surface_Pro_X_1876
Surface Pro X with SQ2 processor | Surface Pro X | Surface_Pro_X_H_1876
Surface Pro X (Wi-Fi) | Surface Pro X | Surface_Pro_X_2010
Surface Pro 10 for Business | Surface Pro 10 for Business | Surface_Pro_10_for_Business_2079
Surface Pro 10 with 5G for Business (outside of Japan and Korea) | Surface Pro 10 with 5G for Business | Surface_Pro_10_with_5G_for_Business_2077
Surface Pro 10 with 5G for Business (Japan) | Surface Pro 10 with 5G for Business | Surface_Pro_10_with_5G_for_Business_2078
Surface Pro 10 with 5G for Business (Korea) | Surface Pro 10 with 5G for Business | Surface_Pro_10_with_5G_for_Business_2121
Surface Pro 11th Edition with Snapdragon, Consumer | Microsoft Surface Pro, 11th Edition | Surface_Pro_11th_Edition_2076
Surface Pro 11th Edition with Snapdragon, Commercial | Microsoft Surface Pro, 11th Edition | Surface_Pro_11th_Edition_For_Business_2085
Surface Pro with 5G 11th Edition, Consumer (outside of Japan) | Microsoft Surface Pro with 5G, 11th Edition | Surface_Pro_with_5G_11th_Edition_2077
Surface Pro with 5G 11th Edition, Consumer (Japan) | Microsoft Surface Pro with 5G, 11th Edition | Surface_Pro_with_5G_11th_Edition_2078
Surface Pro with 5G 11th Edition, Commercial (outside of Japan) | Microsoft Surface Pro with 5G, 11th Edition | Surface_Pro_with_5G_11th_Edition_For_Business_2077
Surface Pro with 5G 11th Edition, Commercial (Japan) | Microsoft Surface Pro with 5G, 11th Edition | Surface_Pro_with_5G_11th_Edition_For_Business_2078
Surface Pro for Business 11th Edition with Intel | Surface Pro for Business 11th Edition with Intel | Surface_Pro_11th_Edition_With_Intel_For_Business_2103
Surface Pro 12-inch 1st Edition with Snapdragon, Consumer | Surface Pro 12in 1st Ed with Snapdragon | Surface_Pro_12in_1st_Ed_with_Snapdragon_2110
Surface Pro 12-inch 1st Edition with Snapdragon, Commercial | Surface Pro for Business 12in 1st Ed with Snapdragon | Surface_Pro_for_Business_12in_1st_Ed_with_Snapdragon_2109
Surface Pro for Business 12th Edition with Intel (outside of Korea) | Surface Pro for Business 13in 12th Ed Intel | Surface_Pro_for_Business_13in_12th_Ed_Intel_2103
Surface Pro for Business 12th Edition with Intel (Korea) | Surface Pro for Business 13in 12th Ed Intel | Surface_Pro_for_Business_13in_12th_Ed_Intel_2134
Surface Pro 5G for Business 12th Edition with Intel (outside of Japan and Korea) | Surface Pro 5G for Business 13in 12th Ed Intel | Surface_Pro_5G_for_Business_13in_12th_Ed_Intel_2077
Surface Pro 5G for Business 12th Edition with Intel (Japan) | Surface Pro 5G for Business 13in 12th Ed Intel | Surface_Pro_5G_for_Business_13in_12th_Ed_Intel_2078
Surface Pro 5G for Business 12th Edition with Intel (Korea) | Surface Pro 5G for Business 13in 12th Ed Intel | Surface_Pro_5G_for_Business_13in_12th_Ed_Intel_2132
Surface Pro 12th Edition with Snapdragon, Consumer (outside of Korea) | Surface Pro 13in 12th Ed Snapdragon | Surface_Pro_13in_12th_Ed_Snapdragon_2076
Surface Pro 12th Edition with Snapdragon, Consumer (Korea) | Surface Pro 13in 12th Ed Snapdragon | Surface_Pro_13in_12th_Ed_Snapdragon_2140
Surface Pro 12th Edition with Snapdragon, Commercial (outside of Korea) | Surface Pro for Business 13in 12th Ed Snapdragon | Surface_Pro_for_Business_13in_12th_Ed_Snapdragon_2085
Surface Pro 12th Edition with Snapdragon, Commercial (Korea) | Surface Pro for Business 13in 12th Ed Snapdragon | Surface_Pro_for_Business_13in_12th_Ed_Snapdragon_2141
Surface Studio | Surface Studio | Surface_Studio
Surface Studio 2 | Surface Studio 2 | Surface_Studio_2_1707_Commercial
Surface Studio 2+ | Surface Studio 2+ | Surface_Studio_2+_2028

